time	accX	accY	accZ	pitch	roll	yaw							
29.2	0.008880615	0.003509521	-0.9881287	0.004492378	-0.001951315	-0.00473323							
29.25	0.008850098	0.000549316	-0.9900513	-0.007635431	-0.0103207	-0.007190399							
29.3	0.01092529	0.003509521	-0.9909668	-0.000505371	0.005260205	-4.26E-05							
29.35	0.008956909	0.002456665	-0.9929657	0.00553621	-0.000658946	0.002250802							
29.4	0.008926392	0.002471924	-0.9920044	0.001851107	-0.006604795	0.003333244							
29.45	0.004806519	0.001525879	-0.9862823	0.000949281	0.000468316	-0.008149059							
29.5	0.01081848	0.001556396	-0.9890289	-0.01149819	0.002912607	0.001058967							
29.55	0.009872437	0.003509521	-0.9890594	-0.003804743	-0.000770857	-0.01281464							
29.6	0.01098633	0.003463745	-0.9938812	-0.00410798	0.005322521	-0.00116413							
29.65	0.00692749	0.004440308	-0.989151	0.003023287	0.005397147	0.005817495							
29.7	0.008850098	0.0025177	-0.9881287	-0.002817631	0.00652999	-0.00343412							
29.75	0.01094055	0.006439209	-0.9890594	0.001972308	0.001808762	2.04E-05							
29.8	0.008895874	0.003494263	-0.98909	0.002208323	0.01481576	-0.009115678							
29.85	0.007843018	0.0025177	-0.9881439	0.0007624	0.001847633	4.35E-05							
29.9	0.01295471	0.004455566	-0.9928741	-0.007642025	-0.008918239	-0.00472851							
29.95	0.005844116	0.00151062	-0.988205	0.000887243	0.000615757	-0.004594935							
30	0.009918213	0.004470825	-0.9900513	0.000742506	-0.002859025	0.001187949							
30.05	0.009872437	0.0025177	-0.990036	0.004403451	-0.005233229	0.001186504							
30.1	0.01202393	0.006393433	-0.9938965	0.003399489	-0.004117789	-0.006907229							
30.15	0.01281738	0.000579834	-0.9909058	0.0119153	-0.008815296	-0.005717835							
30.2	0.006942749	0.001464844	-0.9930115	0.004437033	-0.002823557	7.97E-05							
30.25	0.009872437	0.00151062	-0.9919739	-0.001855697	0.006749517	0.007073062							
30.3	0.008789062	0.002563477	-0.985199	0.0010277	0.001889856	-0.009121786							
30.35	0.01086426	0.001541138	-0.9909668	0.006974853	-0.002809173	-0.003347123							
30.4	0.007949829	0.002456665	-0.992981	-0.002626621	-0.004067197	-0.009196363							
30.45	0.009796143	-0.000411987	-0.9900208	-0.01005117	-0.01589497	-0.004687821							
30.5	0.00302124	0.005386353	-0.9902344	-0.003938611	0.003144187	-0.005638711							
30.55	0.01100159	0.004425049	-0.9938965	-0.004058943	-0.001574369	-0.001054465							
30.6	0.007858276	0.001525879	-0.9900818	0.01423211	0.01039234	-0.000817864							
30.65	0.01293945	0.005477905	-0.9909363	0.004573079	0.004396723	-0.00439646							
30.7	0.00793457	0.003479004	-0.9910431	-0.004248148	0.009238038	0.006010526							
30.75	0.006912231	0.004455566	-0.9881897	-0.005238555	0.004445661	-0.002105777							
30.8	0.01185608	0.002548218	-0.9899902	0.002060481	-0.009813275	-0.001037992							
30.85	0.009063721	0.000396729	-1.000732	-0.004113819	0.005668366	0.001381668							
30.9	0.004867554	0.001480103	-0.9891968	-0.000158361	-0.006276696	-0.009084375							
30.95	0.0078125	0.001541138	-0.9881439	0.000832452	-0.02761271	-1.75E-05							
31	0.009872437	0.00151062	-0.9919739	0.005735615	-0.01567628	-0.001008965							
31.05	0.009780884	0.002563477	-0.986145	0.008113826	-0.01684129	0.001307102							
31.1	-0.00227356	-0.00440979	-0.9864197	0.01528627	-0.02867737	0.007024227							
31.15	-0.001190186	-0.004440308	-0.9902802	-0.002820447	-0.02634889	3.74E-05							
31.2	0.002807617	-0.000457764	-0.9872894	-0.001938977	0.005888219	0.01190353							
31.25	0.001068115	0.000366211	-0.9970551	-0.0076405	-0.01049882	0.04295957							
31.3	0.00390625	0.000488281	-0.9911346	0.008183714	-0.02035384	-0.000970596							
31.35	0.000915527	-0.0025177	-0.9931488	0.009255644	-0.02863031	0.004744427							
31.4	0.01480103	-0.004348755	-0.9966431	0.01593707	-0.04506081	0.02892741							
31.45	0.06164551	-0.03018188	-0.9922943	0.02513088	-0.1300159	0.2341685							
31.5	-0.05154419	0.006774902	-0.9868469	0.03173312	-0.1114479	0.4426179							
31.55	0.0401001	-0.03060913	-1.005508	0.02688348	-0.1091311	0.304939							
31.6	-0.02622986	0.004364014	-0.9676819	0.04292575	-0.09915021	0.6163287							
31.65	-0.03460693	-6.10E-05	-0.9989777	0.03264347	-0.03232125	0.7707477							
31.7	-0.03875732	0	-0.9903412	0.02396308	0.000246134	0.820742							
31.75	-0.05584717	0.002990723	-0.9742889	0.0297564	-0.0290185	0.7418383							
31.8	0.06956482	-0.05230713	-0.9715424	0.06265213	-0.0365063	0.6979903							
31.85	-0.0664978	0.0358429	-0.9952087	0.0424276	-0.0175372	1.08793							
31.9	0.04191589	-0.03642273	-1.004456	0.06540447	-0.00558361	0.9585915							
31.95	0.06904602	-0.04203796	-0.9346924	0.07203129	0.01534116	1.165906							
32	-0.004699707	-0.02737427	-0.9455109	0.07205888	0.006637407	1.256066							
32.05	-0.03494263	0.03234863	-0.9914551	0.01843267	0.04497777	1.162406							
32.1	-0.05526733	0.000610352	-1.005371	0.06108895	-0.0363468	0.8472239							
32.15	0.0827179	-0.04438782	-0.9741364	0.03694465	-0.07330336	0.9751722							
32.2	0.06454468	-0.01025391	-0.9670868	0.09630713	0.119477	1.486342							
32.25	-0.1238556	0.05332947	-1.028961	0.01672813	0.07200368	1.907744							
32.3	-0.08479309	0.006088257	-1.009109	0.08272544	0.05998177	1.357309							
32.35	0.07122803	-0.0209198	-0.9668427	0.05847808	0.02374799	1.170583							
32.4	-0.118454	0.0305481	-0.9819946	0.01581149	0.02097336	1.397075							
32.45	-0.02520752	0.02458191	-0.9930573	0.009520608	0.04152967	1.03974							
32.5	-0.06018066	0.0316925	-1.018356	-0.00347836	0.01359404	0.9792553							
32.55	0.00062561	-0.01524353	-0.9940491	0.003267878	-0.006472757	0.8645754							
32.6	0.02758789	-0.01013184	-1.000168	-0.02838	0.03907654	0.9064621							
32.65	-0.004348755	-0.04547119	-0.9822998	-0.008561986	0.02161587	1.077637							
32.7	-0.09028625	0.02362061	-1.010345	0.003074407	0.000729648	0.8715807							
32.75	-0.01800537	-0.005661011	-0.9936371	0.02323419	0.0310179	0.6648799							
32.8	0.02400208	-0.03460693	-0.999115	0.000343768	0.01610888	0.3360539							
32.85	0.05445862	-0.03507996	-0.9866333	0.001733323	0.0216806	0.5570826							
32.9	-0.03527832	-0.009552002	-0.9785156	-0.005013874	0.06407478	1.035236							
32.95	-0.0460968	0.01644897	-0.9984283	0.01548046	0.1370791	0.8150406							
33	-0.02168274	0.007019043	-0.9928436	-0.009423846	0.04908601	0.5630535							
33.05	0.01924133	-0.02781677	-0.9992828	-0.0125811	0.007227367	0.4087861							
33.1	-0.1006012	0.06190491	-0.9934082	-0.003378041	-0.009593543	0.5209053							
33.15	0.01087952	-0.002441406	-0.9958038	-0.01286324	0.01080027	0.1461971							
33.2	-0.001358032	-0.0112915	-0.9902344	-0.003864116	0.01189667	0.12895							
33.25	0.02194214	-0.02763367	-0.9875488	0.008434255	0.001218836	0.261966							
33.3	-0.0166626	0.01498413	-0.9869385	0.000992057	-0.03439653	0.403902							
33.35	-0.05903625	0.06240845	-0.9903564	-0.008645765	0.005952342	0.2619138							
33.4	-0.00428772	-0.005386353	-0.9854889	-0.008713222	0.01302289	-0.008739968							
33.45	-0.007141113	-0.002548218	-0.9885101	-0.000321091	0.001187685	-0.003016423							
33.5	-0.003143311	-0.003494263	-0.9903564	0.01063409	-0.009495426	-0.001895874							
33.55	-6.10E-05	-0.004516602	-0.9970398	0.01849828	-0.03108125	-0.02171555							
33.6	-0.01313782	-0.005554199	-0.989624	-0.0055932	0.0484908	-0.03501053							
33.65	0.03256226	0.01844788	-1.060501	-0.03005962	0.1218724	0.0569158							
33.7	-0.005996704	-0.004592896	-0.9972076	0.004312071	-0.003477809	0.006221324							
33.75	-0.006164551	-0.001495361	-0.9855652	-0.000489589	0.01314565	0.002874889							
33.8	-0.002044678	-0.002578735	-0.9951782	0.004391744	0.009582235	0.002869162							
33.85	-0.004089355	-0.004516602	-0.9932556	-0.001792228	8.43E-05	0.006219563							
33.9	-0.002151489	-0.004486084	-0.9922485	0.00686209	0.008385438	0.001714669							
33.95	-0.001052856	-0.001541138	-0.9931946	-0.002976491	-0.005877956	0.005001653							
34	-0.000137329	-0.004470825	-0.9931488	-0.004106101	-0.003531084	0.001545584							
34.05	-0.001220703	-0.004440308	-0.9893036	-0.00425106	-0.0153791	0.007221965							
34.1	-0.00227356	-0.005401611	-0.9873962	0.006960216	2.64E-05	-0.001831618							
34.15	0.000823975	-0.002471924	-0.9892731	0.002019333	4.02E-05	0.000455152							
